publish_date,weekday,slot,slot_job,brief_id,pillar,brief_file,output_file,url,working_h1,primary_query,word_target,affiliate,author,freshness_tier,content_type,status,drafted_on,reviewed_by,published_on,quality_passed_on,image_generated_on,notes
2026-09-14,Mon,001,core editorial,001,P1,briefs/2026-09-14-private-car-ban-on-moganshan.md,output/private-car-ban-on-moganshan.md,/plan/private-car-ban-on-moganshan/,The private car ban on Moganshan: what 8am to 5.30pm actually means,moganshan private car ban,1600,go/stays-all soft link at foot,cyril-drouin,volatile,Article,not_started,,,,,,
2026-09-17,Thu,002,core editorial,002,P1,briefs/2026-09-17-moganshan-shuttle-system.md,output/moganshan-shuttle-system.md,/plan/moganshan-shuttle-system/,"The Moganshan shuttle system: both transfer centres, both fares, last bus down",moganshan shuttle bus,1500,go/tickets-moganshan,cyril-drouin,volatile,Article,not_started,,,,,,Desk written from published sources; never claim it was walked.
2026-09-17,Thu,D2026-38,weekly dispatch,D2026-38,P9,briefs/templates/dispatch.md,output/dispatch-2026-38.md,/journal/news/dispatch/2026-38/,"Moganshan dispatch, week 38",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-09-20,Sun,003,core editorial,003,P1,briefs/2026-09-20-moganshan-tickets-in-2026.md,output/moganshan-tickets-in-2026.md,/plan/moganshan-tickets-in-2026/,"Moganshan tickets in 2026: what you pay, what you don't, and why every source disagrees",moganshan tickets,1800,go/tickets-moganshan,cyril-drouin,volatile,Article,not_started,,,,,,
2026-09-23,Wed,004,core editorial,004,P6,briefs/2026-09-23-national-day-on-moganshan.md,output/national-day-on-moganshan.md,/seasons/national-day-on-moganshan/,"National Day on Moganshan: the crowd calendar, the road closures, and whether to go",moganshan national day,1400,go/stays-all,liyan-ye,volatile,Article,not_started,,,,,,
2026-09-24,Thu,D2026-39,weekly dispatch,D2026-39,P9,briefs/templates/dispatch.md,output/dispatch-2026-39.md,/journal/news/dispatch/2026-39/,"Moganshan dispatch, week 39",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-09-26,Sat,005,core editorial,005,P2,briefs/2026-09-26-yucun.md,output/yucun.md,/moganshan/villages/yucun/,Yucun: the village you can visit without a ticket,yucun moganshan,1600,go/stays-village-yucun,echo-peng,semi-stable,Village,not_started,,,,,,
2026-09-29,Tue,006,core editorial,006,P1,briefs/2026-09-29-where-to-leave-your-bags.md,output/where-to-leave-your-bags.md,/plan/where-to-leave-your-bags/,Where to leave your bags: luggage storage at Deqing station and the transfer centre,moganshan luggage storage,900,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2026-10-01,Thu,D2026-40,weekly dispatch,D2026-40,P9,briefs/templates/dispatch.md,output/dispatch-2026-40.md,/journal/news/dispatch/2026-40/,"Moganshan dispatch, week 40",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-10-02,Fri,007,core editorial,007,P6,briefs/2026-10-02-moganshan-red-leaves.md,output/moganshan-red-leaves.md,/seasons/moganshan-red-leaves/,Moganshan red leaves: where the maples are and when they turn,moganshan autumn,1500,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2026-10-05,Mon,008,core editorial,008,P2,briefs/2026-10-05-xiantan.md,output/xiantan.md,/moganshan/villages/xiantan/,Xiantan: the village with 135 guesthouses,xiantan village moganshan,1600,go/stays-village-xiantan,echo-peng,semi-stable,Village,not_started,,,,,,
2026-10-08,Thu,009,core editorial,009,P1,briefs/2026-10-08-paying-for-things-on-moganshan.md,output/paying-for-things-on-moganshan.md,/plan/paying-for-things-on-moganshan/,"Paying for things on Moganshan: Alipay, WeChat Pay, and whether cash still works",alipay foreign card china,1400,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2026-10-08,Thu,D2026-41,weekly dispatch,D2026-41,P9,briefs/templates/dispatch.md,output/dispatch-2026-41.md,/journal/news/dispatch/2026-41/,"Moganshan dispatch, week 41",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2026-10-11,Sun,010,core editorial,010,P3,briefs/2026-10-11-chiang-kai-shek-path.md,output/chiang-kai-shek-path.md,/things-to-do/chiang-kai-shek-path/,The Chiang Kai-shek path: the free route to Sword Pond,moganshan hiking trail,2000,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,Desk written from published sources; never claim it was walked.
